,UMAP_1,UMAP_2,file_name,class
0,74.37779,-9.515207,AREA_sw_0_7_s_0_7_cc_0,AREA
1,74.342,-10.135651,AREA_sw_0_7_s_0_7_cc_1,AREA
2,78.024956,-9.262472,AREA_sw_0_7_s_0_7_cc_2,AREA
3,80.785545,-9.492124,AREA_sw_0_7_s_0_7_cc_3,AREA
4,-11.798246,-39.16583,AREA_sw_0_7_s_0_7_oc,AREA
5,76.3455,-8.042403,AREA_sw_0_7_s_1_0_cc_0,AREA
6,77.67021,-11.143614,AREA_sw_0_7_s_1_0_cc_1,AREA
7,73.81067,-4.529622,AREA_sw_0_7_s_1_0_cc_2,AREA
8,77.52777,-6.0372987,AREA_sw_0_7_s_1_0_cc_3,AREA
9,-12.14843,-40.5926,AREA_sw_0_7_s_1_0_oc,AREA
10,78.31785,-9.205759,AREA_sw_0_7_s_1_2_cc_0,AREA
11,81.42419,-6.7386227,AREA_sw_0_7_s_1_2_cc_1,AREA
12,76.85296,-3.0483987,AREA_sw_0_7_s_1_2_cc_2,AREA
13,78.23972,-7.5075917,AREA_sw_0_7_s_1_2_cc_3,AREA
14,-15.635751,-39.738144,AREA_sw_0_7_s_1_2_oc,AREA
15,73.37259,-9.473754,AREA_sw_1_0_s_0_7_cc_0,AREA
16,75.773155,-4.913933,AREA_sw_1_0_s_0_7_cc_1,AREA
17,74.2408,-5.3199654,AREA_sw_1_0_s_0_7_cc_2,AREA
18,76.48082,-4.7909284,AREA_sw_1_0_s_0_7_cc_3,AREA
19,-15.924153,-40.80251,AREA_sw_1_0_s_0_7_oc,AREA
20,74.24923,-6.0033345,AREA_sw_1_0_s_1_0_cc_0,AREA
21,75.378654,-5.3426633,AREA_sw_1_0_s_1_0_cc_1,AREA
22,77.03895,-11.619808,AREA_sw_1_0_s_1_0_cc_2,AREA
23,81.35878,-8.219237,AREA_sw_1_0_s_1_0_cc_3,AREA
24,-12.946984,-40.261497,AREA_sw_1_0_s_1_0_oc,AREA
25,78.86033,-3.3693714,AREA_sw_1_0_s_1_2_cc_0,AREA
26,80.0817,-7.374855,AREA_sw_1_0_s_1_2_cc_1,AREA
27,73.7112,-5.000359,AREA_sw_1_0_s_1_2_cc_2,AREA
28,81.06928,-8.403235,AREA_sw_1_0_s_1_2_cc_3,AREA
29,-12.462297,-41.372177,AREA_sw_1_0_s_1_2_oc,AREA
30,77.06654,-3.4584472,AREA_sw_1_2_s_0_7_cc_0,AREA
31,72.56915,-7.088997,AREA_sw_1_2_s_0_7_cc_1,AREA
32,80.496826,-10.645895,AREA_sw_1_2_s_0_7_cc_2,AREA
33,75.13533,-4.4888186,AREA_sw_1_2_s_0_7_cc_3,AREA
34,-12.819517,-42.061592,AREA_sw_1_2_s_0_7_oc,AREA
35,79.05055,-11.543793,AREA_sw_1_2_s_1_0_cc_0,AREA
36,79.62566,-4.993615,AREA_sw_1_2_s_1_0_cc_1,AREA
37,79.46188,-8.194933,AREA_sw_1_2_s_1_0_cc_2,AREA
38,79.06507,-10.22832,AREA_sw_1_2_s_1_0_cc_3,AREA
39,-15.1597805,-40.008965,AREA_sw_1_2_s_1_0_oc,AREA
40,80.37975,-9.781329,AREA_sw_1_2_s_1_2_cc_0,AREA
41,80.23729,-5.5176935,AREA_sw_1_2_s_1_2_cc_1,AREA
42,73.866974,-7.608886,AREA_sw_1_2_s_1_2_cc_2,AREA
43,77.16886,-5.650162,AREA_sw_1_2_s_1_2_cc_3,AREA
44,-13.39683,-39.66521,AREA_sw_1_2_s_1_2_oc,AREA
45,46.51418,53.517487,BAR_sw_0_7_s_0_7_cc_0,BAR
46,43.814316,53.3189,BAR_sw_0_7_s_0_7_cc_1,BAR
47,43.18682,55.047203,BAR_sw_0_7_s_0_7_cc_2,BAR
48,47.111416,52.540386,BAR_sw_0_7_s_0_7_cc_3,BAR
49,44.98379,51.79007,BAR_sw_0_7_s_0_7_oc,BAR
50,47.607796,55.23827,BAR_sw_0_7_s_1_0_cc_0,BAR
51,43.653625,51.857872,BAR_sw_0_7_s_1_0_cc_1,BAR
52,45.80078,52.147274,BAR_sw_0_7_s_1_0_cc_2,BAR
53,43.50696,57.851227,BAR_sw_0_7_s_1_0_cc_3,BAR
54,46.71733,55.566578,BAR_sw_0_7_s_1_0_oc,BAR
55,43.361423,52.222065,BAR_sw_0_7_s_1_2_cc_0,BAR
56,47.39477,52.95982,BAR_sw_0_7_s_1_2_cc_1,BAR
57,47.350155,54.820446,BAR_sw_0_7_s_1_2_cc_2,BAR
58,42.797787,52.689316,BAR_sw_0_7_s_1_2_cc_3,BAR
59,47.48644,53.38698,BAR_sw_0_7_s_1_2_oc,BAR
60,44.282227,57.333042,BAR_sw_1_0_s_0_7_cc_0,BAR
61,42.28203,53.267586,BAR_sw_1_0_s_0_7_cc_1,BAR
62,45.404465,53.612045,BAR_sw_1_0_s_0_7_cc_2,BAR
63,47.277916,56.544106,BAR_sw_1_0_s_0_7_cc_3,BAR
64,44.661785,51.889194,BAR_sw_1_0_s_0_7_oc,BAR
65,48.176956,54.15993,BAR_sw_1_0_s_1_0_cc_0,BAR
66,46.92167,57.23879,BAR_sw_1_0_s_1_0_cc_1,BAR
67,46.55376,51.56577,BAR_sw_1_0_s_1_0_cc_2,BAR
68,44.970154,52.48011,BAR_sw_1_0_s_1_0_cc_3,BAR
69,45.784737,57.151863,BAR_sw_1_0_s_1_0_oc,BAR
70,43.3927,56.16916,BAR_sw_1_0_s_1_2_cc_0,BAR
71,46.116535,55.458195,BAR_sw_1_0_s_1_2_cc_1,BAR
72,44.939598,53.090237,BAR_sw_1_0_s_1_2_cc_2,BAR
73,42.31028,55.90375,BAR_sw_1_0_s_1_2_cc_3,BAR
74,42.377453,55.169968,BAR_sw_1_0_s_1_2_oc,BAR
75,44.55999,57.393852,BAR_sw_1_2_s_0_7_cc_0,BAR
76,42.960514,54.031406,BAR_sw_1_2_s_0_7_cc_1,BAR
77,41.78183,54.36036,BAR_sw_1_2_s_0_7_cc_2,BAR
78,48.38378,56.05792,BAR_sw_1_2_s_0_7_cc_3,BAR
79,44.223396,56.433147,BAR_sw_1_2_s_0_7_oc,BAR
80,43.29231,56.232292,BAR_sw_1_2_s_1_0_cc_0,BAR
81,46.24201,56.47617,BAR_sw_1_2_s_1_0_cc_1,BAR
82,43.588192,52.9508,BAR_sw_1_2_s_1_0_cc_2,BAR
83,45.636112,55.883633,BAR_sw_1_2_s_1_0_cc_3,BAR
84,41.98879,55.745537,BAR_sw_1_2_s_1_0_oc,BAR
85,44.945206,56.523033,BAR_sw_1_2_s_1_2_cc_0,BAR
86,45.53643,54.325016,BAR_sw_1_2_s_1_2_cc_1,BAR
87,43.702652,53.98484,BAR_sw_1_2_s_1_2_cc_2,BAR
88,47.75161,56.1308,BAR_sw_1_2_s_1_2_cc_3,BAR
89,44.648754,55.470776,BAR_sw_1_2_s_1_2_oc,BAR
90,-44.00648,-54.741333,BED_DEMO_sw_0_7_s_0_7_cc_0,BED_DEMO
91,-44.149403,-51.61257,BED_DEMO_sw_0_7_s_0_7_cc_1,BED_DEMO
92,-44.699085,-55.186214,BED_DEMO_sw_0_7_s_0_7_cc_2,BED_DEMO
93,-45.23285,-54.40272,BED_DEMO_sw_0_7_s_0_7_oc,BED_DEMO
