,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
53,53,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4,2404
54,54,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4_llm_fs_single,631
55,55,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.json,specs,image,1970
56,56,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec_frequency,4
57,57,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec_onehot,4
58,58,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec,13
59,59,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text,2545
60,60,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text_0_2_4,2625
61,61,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text_0_2_4_llm_fs_single,875
62,62,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,image,1495
63,63,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
64,64,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
65,65,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec,1
66,66,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text,368
67,67,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,498
68,68,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,277
69,69,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,image,1077
70,70,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec_frequency,4
71,71,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec_onehot,1
72,72,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec,1
73,73,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text,45
74,74,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4,7
75,75,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,79
76,76,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,image,1492
