,query_file,query_type,target_embedding_type,smallest_k_matched
55,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.json,specs,image,2666
56,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec_frequency,13
57,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec_onehot,12
58,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,spec,34
59,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text,2653
60,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text_0_2_4,2676
61,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,text_0_2_4_llm_fs_single,1350
62,BRUSH_sw_1_0_s_1_2_cc_1_query2.json,specs,image,2264
63,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
64,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
65,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,spec,1
66,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text,368
67,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,498
68,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,200
69,OVERLAY_TRACKS_LINE_POINT_sw_0_7_s_0_7_cc_0_query.json,specs,image,176
70,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec_frequency,1
71,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec_onehot,1
72,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,spec,1
73,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text,43
74,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4,7
75,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,71
76,TRIANGLE_sw_1_0_s_1_0_oc_query.json,specs,image,1492
77,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec_frequency,1
78,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec_onehot,1
79,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec,1
80,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text,972
81,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4,1169
82,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4_llm_fs_single,4
83,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,image,2
84,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec_frequency,1
85,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec_onehot,1
86,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec,783
87,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text,1851
88,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text_0_2_4,1864
89,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,353
90,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,image,306
91,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
92,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
93,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec,7
94,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text,2420
95,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,2407
96,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,147
97,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,image,1805
98,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,1
99,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,1
100,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,3
101,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text,2134
102,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4,2152
103,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,226
104,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,image,479
105,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
106,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
107,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec,4
108,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text,534
109,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,1124
110,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,10
111,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,image,558
112,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_frequency,1
113,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_onehot,1
114,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec,25
115,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text,1326
116,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4,1347
117,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4_llm_fs_single,58
118,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,image,850
119,overview-landing_oc_query2.json,specs,spec_frequency,1
120,overview-landing_oc_query2.json,specs,spec_onehot,1
121,overview-landing_oc_query2.json,specs,spec,318
122,overview-landing_oc_query2.json,specs,text,2375
123,overview-landing_oc_query2.json,specs,text_0_2_4,2365
124,overview-landing_oc_query2.json,specs,text_0_2_4_llm_fs_single,820
125,overview-landing_oc_query2.json,specs,image,672
126,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec_frequency,1
127,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec_onehot,1
128,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec,13
129,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text,2342
130,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text_0_2_4,2365
131,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text_0_2_4_llm_fs_single,115
132,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,image,1469
133,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec_frequency,4
134,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec_onehot,1
135,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec,104
136,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text,671
137,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text_0_2_4,746
138,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text_0_2_4_llm_fs_single,327
139,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,image,538
140,overview-landing_cc_0_query3.json,specs,spec_frequency,11
141,overview-landing_cc_0_query3.json,specs,spec_onehot,213
142,overview-landing_cc_0_query3.json,specs,spec,267
143,overview-landing_cc_0_query3.json,specs,text,2485
144,overview-landing_cc_0_query3.json,specs,text_0_2_4,2445
145,overview-landing_cc_0_query3.json,specs,text_0_2_4_llm_fs_single,1453
146,overview-landing_cc_0_query3.json,specs,image,1076
147,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec_frequency,1
148,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec_onehot,1
149,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec,1
150,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text,651
151,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4,1211
152,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4_llm_fs_single,209
153,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,image,47
154,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec_frequency,1
155,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec_onehot,1
156,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec,1890
157,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text,800
158,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text_0_2_4,541
159,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text_0_2_4_llm_fs_single,74
160,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,image,1127
161,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_frequency,2
162,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_onehot,1
163,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec,1
164,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text,315
165,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4,150
166,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,65
167,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,image,522
168,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec_frequency,5
169,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec_onehot,6
170,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec,2
171,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text,1286
172,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text_0_2_4,1365
173,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text_0_2_4_llm_fs_single,733
174,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,image,661
175,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec_frequency,1
176,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec_onehot,1
177,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec,1
178,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text,1
179,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text_0_2_4,1
180,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text_0_2_4_llm_fs_single,8
181,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,image,1
182,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec_frequency,4
183,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec_onehot,1
184,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec,1
185,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text,640
186,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text_0_2_4,650
187,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,text_0_2_4_llm_fs_single,12
188,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,image,1568
189,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec_frequency,1
190,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec_onehot,1
191,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,spec,1
192,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text,663
193,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4,755
194,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4_llm_fs_single,123
195,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.json,specs,image,489
196,overview-landing_cc_0_query2.json,specs,spec_frequency,1
197,overview-landing_cc_0_query2.json,specs,spec_onehot,1
198,overview-landing_cc_0_query2.json,specs,spec,298
199,overview-landing_cc_0_query2.json,specs,text,2588
200,overview-landing_cc_0_query2.json,specs,text_0_2_4,2570
201,overview-landing_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,1521
202,overview-landing_cc_0_query2.json,specs,image,834
203,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
204,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
205,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,spec,1
206,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text,1
207,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,686
208,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,1
209,EX_SPEC_SARS_COV_2_sw_1_0_s_1_0_oc_query2.json,specs,image,1
210,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
211,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
212,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,spec,2
213,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text,258
214,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,420
215,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,9
216,TEXT_sw_0_7_s_0_7_cc_0_query.json,specs,image,10
217,overview-landing_oc_query3.json,specs,spec_frequency,19
218,overview-landing_oc_query3.json,specs,spec_onehot,19
219,overview-landing_oc_query3.json,specs,spec,318
220,overview-landing_oc_query3.json,specs,text,2375
221,overview-landing_oc_query3.json,specs,text_0_2_4,2365
222,overview-landing_oc_query3.json,specs,text_0_2_4_llm_fs_single,820
223,overview-landing_oc_query3.json,specs,image,672
224,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec_frequency,6
225,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec_onehot,1
226,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,spec,95
227,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text,291
228,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text_0_2_4,318
229,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,text_0_2_4_llm_fs_single,41
230,POINT_sw_0_7_s_1_2_cc_1_query.json,specs,image,79
231,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,1
232,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,1
233,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,825
234,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text,1557
235,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4,1531
236,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,7
237,circular-heat_p_0_sw_1_2_s_1_0_oc_query.json,specs,image,3159
238,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec_frequency,4
239,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec_onehot,2
240,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,spec,1
241,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text,3036
242,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4,3044
243,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,1395
244,band_connection_p_0_sw_1_0_s_1_0_oc_query.json,specs,image,2390
245,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_frequency,1
246,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_onehot,1
247,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,spec,1
248,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text,1383
